reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.6,0.003022431341796141
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.65,0.003055006453088497
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.7,0.0031038651288920836
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.75,0.003152719015959619
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.8,0.0032178500841214615
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.85,0.0032691347764619034
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.9,0.003364363873918014
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.95,0.003494562199941213
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.975,0.0035925953528272814
2026-03-28,04,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.99,0.0037711207248387886
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.01,0.0014167710118388166
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.025,0.001539225758281301
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.05,0.001664707257742433
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.1,0.001818074410907867
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.15,0.0019264773000293657
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.2,0.0020269560102753152
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.25,0.0021098128433532813
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.3,0.0021778990227171104
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.35,0.0022453289027692287
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.4,0.0023162254228941254
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.45,0.002383492080938461
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.5,0.0024515877997243448
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.55,0.002529840590022057
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.6,0.002596040585973099
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.65,0.0026667882953709805
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.7,0.002751655127310909
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.75,0.0028413135789847896
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.8,0.002943775551827426
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.85,0.0030695804599001073
